Factory,Region,Orders,Current_Lead_Time_Days,Current_Margin_Pct,Performance Score,Reallocation Candidate
Chocolate,Atlantic,2778,1322.772498200144,0.6743794980862629,-1.6439129599310989,True
Chocolate,Pacific,3055,1321.552209492635,0.6747900558432028,-0.20178816734003066,False
Chocolate,Interior,2225,1325.0696629213485,0.6753691519059407,0.5500588140318503,False
Chocolate,Gulf,1519,1314.1586570111915,0.6746779195537332,1.295642313240009,False
Other,Pacific,44,1314.25,0.3588811188811189,-1.663324799788877,True
Other,Atlantic,56,1299.267857142857,0.3685989010989011,-0.8839152269554312,False
Other,Gulf,31,1332.1612903225807,0.4199503722084367,-0.16784404640292605,False
Other,Interior,38,1244.078947368421,0.4261943319838057,2.715084073147236,False
Sugar,Atlantic,19,1389.2631578947369,0.542972170795498,-1.3165312365667483,True
Sugar,Interior,8,1318.625,0.5112227805695142,-1.073374090572318,False
Sugar,Pacific,5,1419.4,0.6490675600223339,0.3094674440823426,False
Sugar,Gulf,5,1200.0,0.6048017867113344,2.0804378830567116,False
