Factory,Region,Ship Mode,Country/Region,Units,Sales per Unit,Cost per Unit,Ship Speed Rank,State/Province Freq,City Freq,Predicted Lead Time Days,Predicted Margin Pct,Orders,Current_Lead_Time_Days,Current_Margin_Pct,Dominant_Ship_Mode,Is Current Ship Mode,Delta Lead Time Days,Delta Margin Pct
Chocolate,Atlantic,Same Day,United States,3.0,3.6,1.14,0,0.0575488091587447,0.0218746805683328,1257.5661147871076,0.6619003248707265,2778,1322.772498200144,0.6743794980862629,Standard Class,False,-65.20638341303629,-0.012479173215536377
Chocolate,Atlantic,First Class,United States,3.0,3.6,1.14,1,0.0575488091587447,0.0218746805683328,1326.779725428023,0.6619003248707265,2778,1322.772498200144,0.6743794980862629,Standard Class,False,4.007227227879184,-0.012479173215536377
Chocolate,Atlantic,Second Class,United States,3.0,3.6,1.14,2,0.0575488091587447,0.0218746805683328,1236.4708730703671,0.6619003248707265,2778,1322.772498200144,0.6743794980862629,Standard Class,False,-86.30162512977677,-0.012479173215536377
Chocolate,Atlantic,Standard Class,United States,3.0,3.6,1.14,3,0.0575488091587447,0.0218746805683328,1273.2105769049401,0.6619003248707265,2778,1322.772498200144,0.6743794980862629,Standard Class,True,-49.561921295203774,-0.012479173215536377
Chocolate,Gulf,Same Day,United States,3.0,3.6,1.14,0,0.0214658080343452,0.0029643258714095,1280.145230041183,0.6619003248707265,1519,1314.1586570111915,0.6746779195537332,Standard Class,False,-34.013426970008595,-0.012777594683006765
Chocolate,Gulf,First Class,United States,3.0,3.6,1.14,1,0.0214658080343452,0.0029643258714095,1274.2136091872824,0.6619003248707265,1519,1314.1586570111915,0.6746779195537332,Standard Class,False,-39.945047823909135,-0.012777594683006765
Chocolate,Gulf,Second Class,United States,3.0,3.6,1.14,2,0.0214658080343452,0.0029643258714095,1311.7106408806535,0.6619003248707265,1519,1314.1586570111915,0.6746779195537332,Standard Class,False,-2.448016130538008,-0.012777594683006765
Chocolate,Gulf,Standard Class,United States,3.0,3.6,1.14,3,0.0214658080343452,0.0029643258714095,1333.6314376098692,0.6619003248707265,1519,1314.1586570111915,0.6746779195537332,Standard Class,True,19.472780598677673,-0.012777594683006765
Chocolate,Interior,Same Day,United States,3.0,3.6,1.14,0,0.0485536134110191,0.0059286517428191,1334.2884277019018,0.6619003248707265,2225,1325.0696629213485,0.6753691519059407,Standard Class,False,9.218764780553329,-0.013468827035214237
Chocolate,Interior,First Class,United States,3.0,3.6,1.14,1,0.0485536134110191,0.0059286517428191,1399.3943278832332,0.6619003248707265,2225,1325.0696629213485,0.6753691519059407,Standard Class,False,74.32466496188476,-0.013468827035214237
Chocolate,Interior,Second Class,United States,3.0,3.6,1.14,2,0.0485536134110191,0.0059286517428191,1324.6027743881925,0.6619003248707265,2225,1325.0696629213485,0.6753691519059407,Standard Class,False,-0.46688853315595225,-0.013468827035214237
Chocolate,Interior,Standard Class,United States,3.0,3.6,1.14,3,0.0485536134110191,0.0059286517428191,1286.0005948026383,0.6619003248707265,2225,1325.0696629213485,0.6753691519059407,Standard Class,True,-39.06906811871022,-0.013468827035214237
Chocolate,Pacific,Same Day,United States,3.0,3.6,1.14,0,0.1958499437800265,0.041704998466728,1328.6058456125725,0.6619003248707265,3055,1321.552209492635,0.6747900558432028,Standard Class,False,7.053636119937437,-0.012889730972476365
Chocolate,Pacific,First Class,United States,3.0,3.6,1.14,1,0.1958499437800265,0.041704998466728,1315.468184573908,0.6619003248707265,3055,1321.552209492635,0.6747900558432028,Standard Class,False,-6.084024918726982,-0.012889730972476365
Chocolate,Pacific,Second Class,United States,3.0,3.6,1.14,2,0.1958499437800265,0.041704998466728,1301.4400792006727,0.6619003248707265,3055,1321.552209492635,0.6747900558432028,Standard Class,False,-20.11213029196233,-0.012889730972476365
Chocolate,Pacific,Standard Class,United States,3.0,3.6,1.14,3,0.1958499437800265,0.041704998466728,1312.4999322277606,0.6619003248707265,3055,1321.552209492635,0.6747900558432028,Standard Class,True,-9.05227726487442,-0.012889730972476365
Other,Atlantic,Same Day,United States,3.0,1.25,0.6,0,0.0575488091587447,0.0524379024839006,1314.7661014813932,0.5199988977204785,56,1299.267857142857,0.3685989010989011,Standard Class,False,15.498244338536097,0.15139999662157738
Other,Atlantic,First Class,United States,3.0,1.25,0.6,1,0.0575488091587447,0.0524379024839006,1288.0698253213695,0.5199988977204785,56,1299.267857142857,0.3685989010989011,Standard Class,False,-11.198031821487575,0.15139999662157738
Other,Atlantic,Second Class,United States,3.0,1.25,0.6,2,0.0575488091587447,0.0524379024839006,1301.8805559344055,0.5199988977204785,56,1299.267857142857,0.3685989010989011,Standard Class,False,2.6126987915483824,0.15139999662157738
Other,Atlantic,Standard Class,United States,3.0,1.25,0.6,3,0.0575488091587447,0.0524379024839006,1284.4489765548371,0.5199988977204785,56,1299.267857142857,0.3685989010989011,Standard Class,True,-14.818880588019965,0.15139999662157738
Other,Gulf,Same Day,United States,3.0,1.25,0.6,0,0.0182970458959419,0.0039865072063784,1322.5946010276962,0.5199988977204785,31,1332.1612903225807,0.4199503722084367,Second Class,False,-9.566689294884554,0.1000485255120418
Other,Gulf,First Class,United States,3.0,1.25,0.6,1,0.0182970458959419,0.0039865072063784,1296.2874535707133,0.5199988977204785,31,1332.1612903225807,0.4199503722084367,Second Class,False,-35.87383675186743,0.1000485255120418
Other,Gulf,Second Class,United States,3.0,1.25,0.6,2,0.0182970458959419,0.0039865072063784,1349.3187651920293,0.5199988977204785,31,1332.1612903225807,0.4199503722084367,Second Class,True,17.157474869448606,0.1000485255120418
Other,Gulf,Standard Class,United States,3.0,1.25,0.6,3,0.0182970458959419,0.0039865072063784,1375.0497245965391,0.5199988977204785,31,1332.1612903225807,0.4199503722084367,Second Class,False,42.88843427395841,0.1000485255120418
Other,Interior,Same Day,United States,3.0,1.25,0.6,0,0.0485536134110191,0.0098129408157007,1382.653644417956,0.5199988977204785,38,1244.078947368421,0.4261943319838057,Standard Class,False,138.57469704953496,0.09380456573667278
Other,Interior,First Class,United States,3.0,1.25,0.6,1,0.0485536134110191,0.0098129408157007,1377.713314285607,0.5199988977204785,38,1244.078947368421,0.4261943319838057,Standard Class,False,133.63436691718607,0.09380456573667278
