Product Name,Region,Home Factory,Candidate Factory,Rank,Recommend Reassignment,Lead Time Reduction (%),Risk Reduction,Profit Impact ($),Composite Score,Current_Lead_Time_Days,Predicted Lead Time Days,Current_Margin_Pct,Predicted Margin Pct,Orders,Profit Impact Stability,Scenario Confidence Score
Fizzy Lifting Drinks,Atlantic,Sugar,Chocolate,1,True,10.601967498604743,-0.0056718799326864,0.2614614745955546,0.3014179363239433,1455.5,1301.188363057808,0.6,0.6077470066546832,2,0.9647333962431306,0.030306972766037804
Fizzy Lifting Drinks,Atlantic,Sugar,Other,2,False,11.412482983824727,-0.0232432075688228,0.3089389393285717,-0.0669960444650355,1455.5,1289.391310170431,0.6,0.6091537463504763,2,0.6572710351408692,0.030306972766037804
Fizzy Lifting Drinks,Gulf,Sugar,Chocolate,1,False,-39.24237463491199,-0.0056718799326864,0.1162050998202465,-1.7460654786134169,909.0,1265.71318543135,0.6,0.6077470066546832,1,0.9647333962431306,0.019121570858773102
Fizzy Lifting Drinks,Gulf,Sugar,Other,2,False,-45.04485512120775,-0.0232432075688228,0.137306195257143,-2.38617233631011,909.0,1318.4577330517784,0.6,0.6091537463504763,1,0.6572710351408692,0.019121570858773102
Fizzy Lifting Drinks,Interior,Sugar,Chocolate,1,False,1.3047972519195148,-0.0056718799326864,0.1452563747753081,-0.081079156931733,1273.5,1256.883406996805,0.6,0.6077470066546832,2,0.9647333962431306,0.030306972766037804
Fizzy Lifting Drinks,Interior,Sugar,Other,2,False,1.7027384599946171,-0.0232432075688228,0.1716327440714287,-0.4665729009223546,1273.5,1251.8156257119686,0.6,0.6091537463504763,2,0.6572710351408692,0.030306972766037804
Fizzy Lifting Drinks,Pacific,Sugar,Chocolate,1,False,-0.0394683443215903,-0.0056718799326864,0.0871538248651848,-0.136658341306682,1274.0,1274.502826706657,0.6,0.6077470066546832,1,0.9647333962431306,0.019121570858773102
Fizzy Lifting Drinks,Pacific,Sugar,Other,2,False,-0.5291784184603304,-0.0232432075688228,0.1029796464428572,-0.5586675419209503,1274.0,1280.7417330511846,0.6,0.6091537463504763,1,0.6572710351408692,0.019121570858773102
Fun Dip,Atlantic,Sugar,Chocolate,1,False,0.3042735407547939,-0.0056718799326864,0.3750041392895898,-0.1206322201607849,1275.0,1271.1205123553764,0.3999999999999999,0.4625006898815982,1,0.9647333962431306,0.019121570858773102
Fun Dip,Atlantic,Sugar,Other,2,False,2.147298835487395,-0.0232432075688228,0.3750747771931134,-0.4469682303754383,1275.0,1247.6219398475355,0.3999999999999999,0.4625124628655188,1,0.6572710351408692,0.019121570858773102
Fun Dip,Gulf,Sugar,Chocolate,1,False,-8.090379405255371,-0.0056718799326864,0.0937510348223974,-0.467170299564938,1272.0,1374.9096260348483,0.3999999999999999,0.4625006898815982,1,0.9647333962431306,0.019121570858773102
Fun Dip,Gulf,Sugar,Other,2,False,-6.832379951836296,-0.0232432075688228,0.0937686942982783,-0.8175267609986163,1272.0,1358.9078729873577,0.3999999999999999,0.4625124628655188,1,0.6572710351408692,0.019121570858773102
Fun Dip,Interior,Sugar,Chocolate,1,False,-2.35614196943744,-0.0056718799326864,0.2812531044671919,-0.2304870076084064,1271.0,1300.94656443155,0.4,0.4625006898815982,1,0.9647333962431306,0.019121570858773102
Fun Dip,Interior,Sugar,Other,2,False,-2.410652441612013,-0.0232432075688228,0.2813060828948346,-0.6347325096191755,1271.0,1301.639392532889,0.4,0.4625124628655188,1,0.6572710351408692,0.019121570858773102
Hair Toffee,Atlantic,Sugar,Chocolate,1,True,16.415469496122668,-0.0056718799326864,-0.740191208724954,0.5334540104569688,1639.0,1369.9504549585497,0.7777777777777778,0.7448803907233353,1,0.9647333962431306,0.019121570858773102
Hair Toffee,Atlantic,Sugar,Other,2,True,17.745921008610978,-0.0232432075688228,-0.3866439239813497,0.1884214271748377,1639.0,1348.144354668866,0.7777777777777778,0.7605936033786066,1,0.6572710351408692,0.019121570858773102
Hair Toffee,Gulf,Sugar,Chocolate,1,True,18.009227226716227,-0.0056718799326864,-0.2960764834899816,0.60184185667599,1635.0,1340.5491348431897,0.7777777777777778,0.7448803907233353,1,0.9647333962431306,0.019121570858773102
Hair Toffee,Gulf,Sugar,Other,2,True,18.325722259562284,-0.0232432075688228,-0.1546575695925399,0.2137685134565131,1635.0,1335.374441056157,0.7777777777777778,0.7605936033786066,1,0.6572710351408692,0.019121570858773102
Hair Toffee,Pacific,Sugar,Chocolate,1,False,-4.144026161391299,-0.0056718799326864,-1.480382417449908,-0.3155999755119422,1273.5,1326.2741731653182,0.7777777777777778,0.7448803907233353,2,0.9647333962431306,0.030306972766037804
